,name,distance,latitude,longitude,api,query
161,Gem Bar & Grill,743,43.673939000000004,-79.441159,foursquare,bar
162,Blood Brothers Brewing,579,43.673939000000004,-79.441159,foursquare,bar
163,Vivid Bar & Lounge,546,43.673939000000004,-79.441159,foursquare,bar
164,Tatu 63 Sports Bar & Lounge,601,43.673939000000004,-79.441159,foursquare,bar
165,Indie Alehouse Barrel House,584,43.673939000000004,-79.441159,foursquare,bar
166,Earl's Court Bar & Eatery,625,43.673939000000004,-79.441159,foursquare,bar
167,Marcello's Pizzeria,470,43.673939000000004,-79.441159,foursquare,bar
168,King's Tacos,492,43.673939000000004,-79.441159,foursquare,bar
169,Desotos,534,43.673939000000004,-79.441159,foursquare,bar
170,Hi-Lo Bar,655,43.657990999999996,-79.340075,foursquare,bar
171,The Comrade,649,43.657990999999996,-79.340075,foursquare,bar
172,Black Lab Brewing,977,43.657990999999996,-79.340075,foursquare,bar
173,Radical Road Brewing Co,799,43.657990999999996,-79.340075,foursquare,bar
174,Rooftop at Broadview Hotel,813,43.657990999999996,-79.340075,foursquare,bar
175,Eastbound Brewing Co,825,43.657990999999996,-79.340075,foursquare,bar
176,Avling,422,43.657990999999996,-79.340075,foursquare,bar
177,Prohibition Gastrohouse,828,43.657990999999996,-79.340075,foursquare,bar
178,Dundas & Carlaw,749,43.657990999999996,-79.340075,foursquare,bar
179,District 28 Bar Bistro,315,43.657990999999996,-79.340075,foursquare,bar
180,Pinkerton's Snack Bar,655,43.66745,-79.329408,foursquare,bar
181,Left Field Brewery,698,43.66745,-79.329408,foursquare,bar
182,Black Lab Brewing,623,43.66745,-79.329408,foursquare,bar
183,Rorschach Brewing,878,43.66745,-79.329408,foursquare,bar
184,Radical Road Brewing Co,590,43.66745,-79.329408,foursquare,bar
185,Godspeed Brewery,985,43.66745,-79.329408,foursquare,bar
186,Poor Romeo,640,43.66745,-79.329408,foursquare,bar
187,Avling,961,43.66745,-79.329408,foursquare,bar
188,Eulalie's Corner Store,826,43.66745,-79.329408,foursquare,bar
189,Hastings Barber Shop,430,43.66745,-79.329408,foursquare,bar
190,Pinkerton's Snack Bar,402,43.672453000000004,-79.338259,foursquare,bar
191,Left Field Brewery,653,43.672453000000004,-79.338259,foursquare,bar
192,Efes Bar and Grill,865,43.672453000000004,-79.338259,foursquare,bar
193,The Only Cafe,884,43.672453000000004,-79.338259,foursquare,bar
194,Poor Romeo,415,43.672453000000004,-79.338259,foursquare,bar
195,Dundas & Carlaw,909,43.672453000000004,-79.338259,foursquare,bar
196,The Olde Eton House,865,43.672453000000004,-79.338259,foursquare,bar
197,Maple Leaf Tavern,487,43.672453000000004,-79.338259,foursquare,bar
198,Hailed Coffee,844,43.672453000000004,-79.338259,foursquare,bar
199,Tapps Restaurant & Bar,967,43.672453000000004,-79.338259,foursquare,bar
200,Black Lab Brewing,543,43.6592088,-79.3348396,foursquare,bar
201,Radical Road Brewing Co,424,43.6592088,-79.3348396,foursquare,bar
202,Avling,367,43.6592088,-79.3348396,foursquare,bar
203,Dundas & Carlaw,813,43.6592088,-79.3348396,foursquare,bar
204,Mercury Espresso Bar,544,43.6592088,-79.3348396,foursquare,bar
205,District 28 Bar Bistro,644,43.6592088,-79.3348396,foursquare,bar
206,The Roy Public House,669,43.6592088,-79.3348396,foursquare,bar
207,Wei Bar,412,43.6592088,-79.3348396,foursquare,bar
208,Saulter Street Brewery,932,43.6592088,-79.3348396,foursquare,bar
209,Ascari Enoteca,320,43.6592088,-79.3348396,foursquare,bar
210,Serano Bakery,923,43.689211,-79.35438,foursquare,bar
211,Golden Pizza,49,43.689211,-79.35438,foursquare,bar
212,Danish Pastry Shop,498,43.689211,-79.35438,foursquare,bar
