free_bikes,longitude,latitude
4,-79.4088888888889,43.66
5,-79.326319,43.690564
1,-79.300463,43.688325
23,-79.46478,43.65716
1,-79.35858,43.6772
16,-79.379903,43.662712
8,-79.383518,43.658938
4,-79.322961,43.683378
9,-79.3762,43.6425636
1,-79.4486,43.6521
12,-79.386532,43.669969
7,-79.425679,43.633473
17,-79.420317,43.630254
10,-79.423098,43.662403
5,-79.424911,43.656945
0,-79.4184725,43.6817346
0,-79.418734,43.683296
17,-79.281455,43.673831
22,-79.3014,43.666325
6,-79.423742,43.651145
9,-79.398448,43.654905
13,-79.369411,43.651118
4,-79.4056,43.6571
23,-79.393388,43.652823
14,-79.387499,43.665527
15,-79.3768,43.6582
2,-79.354704,43.671172
0,-79.35667,43.677076
1,-79.344062,43.680223
1,-79.346289,43.678401
5,-79.329455,43.681991
4,-79.41111111111111,43.6422222
6,-79.410491,43.663808
5,-79.41166666666668,43.6666667
4,-79.41888888888889,43.6638889
1,-79.425734,43.661705
4,-79.42027777777778,43.6686111
1,-79.43235,43.665327
0,-79.43112,43.657343
7,-79.40345,43.645324
15,-79.36163,43.650256
16,-79.4213888888889,43.651111111111106
6,-79.414663,43.656296
2,-79.411717,43.651281
4,-79.42972222,43.65277778
8,-79.418889,43.655
11,-79.338673,43.668553
14,-79.327987,43.663912
3,-79.3855048,43.6462176
0,-79.328535,43.69595
2,-79.3462789,43.6753188
4,-79.3470557,43.6720273
13,-79.424146,43.637981
6,-79.416379,43.640885
9,-79.36583333333333,43.6552778
1,-79.376367,43.6712581
7,-79.36793,43.664524
11,-79.362506,43.665867
3,-79.380042,43.648575
0,-79.390477,43.643473
18,-79.38783,43.645859
3,-79.3656796,43.662132
8,-79.391051,43.640722
3,-79.37617,43.66207
9,-79.3244,43.660206
14,-79.291162,43.668633
4,-79.384796,43.665801
1,-79.38891,43.668153
2,-79.377257,43.657024
3,-79.383572,43.662862
1,-79.40161,43.7063473
11,-79.39419,43.6978701
1,-79.40045,43.696708
7,-79.37549,43.6476616
14,-79.36839,43.6487245
33,-79.380576,43.64852
12,-79.385327,43.656026
13,-79.395003,43.645323
0,-79.405556,43.677778
25,-79.375308,43.641646
1,-79.378912,43.646162
1,-79.304848,43.687323
14,-79.379385,43.668991
12,-79.3825,43.6622222
12,-79.40555555555557,43.64333333333333
21,-79.39527777777778,43.6575
12,-79.381019,43.657424
15,-79.378761,43.64595
9,-79.38725,43.668427
10,-79.381171,43.669604
7,-79.337789,43.661673
8,-79.352055,43.665656
15,-79.4722622,43.6308933
27,-79.480284,43.6224434
9,-79.398443,43.66986
4,-79.350325,43.659471
1,-79.450842,43.650492
10,-79.439223,43.640255
5,-79.431734,43.637922
17,-79.447915,43.643769
2,-79.4445087,43.649172
7,-79.416124,43.663912
9,-79.33443,43.66587
1,-79.367318,43.658816
2,-79.444792,43.654004
10,-79.44865,43.6397
7,-79.3595,43.653809
1,-79.391253,43.673768
6,-79.358749,43.656638
7,-79.399993,43.716652
2,-79.299332,43.684261
2,-79.297974,43.678685
0,-79.47779,43.65143
4,-79.48477,43.64976
0,-79.449066,43.664182
0,-79.3929,43.64407
8,-79.48674,43.61868
13,-79.38702,43.6442
3,-79.38409,43.64283
1,-79.47421,43.65182
0,-79.408019,43.685569
0,-79.375233,43.651678
0,-79.378743,43.651838
12,-79.394009,43.665221
13,-79.362101,43.688148
9,-79.374495,43.669232
11,-79.414156,43.640075
0,-79.347346,43.678285
5,-79.31469,43.697139
