,free_bikes,rating,review_count,distance,total
325,3,4.5,24,573.694441504334,45
326,3,4.5,49,504.9538784811232,45
327,3,4.0,38,1005.8027813259531,45
328,3,3.5,35,483.55170597206,45
330,3,5.0,1,656.3605196496691,45
331,3,3.5,27,605.8380664694273,45
332,3,4.0,16,462.9801796819975,45
333,3,4.5,3,462.2063044125634,45
335,3,3.5,35,733.9258567009903,45
337,3,4.0,18,1030.819687852984,45
338,3,3.5,8,439.9293982713994,45
341,11,4.5,76,499.7690618041102,1000
342,11,4.5,44,525.652980178965,1000
345,11,5.0,34,276.99039030390344,1000
347,11,4.0,13,364.4998831695044,1000
348,11,4.0,38,770.2930193592675,1000
349,11,4.5,22,506.80157182352247,1000
350,11,4.0,63,324.6313485474975,1000
351,11,4.0,156,182.23867233939185,1000
352,11,5.0,5,360.1539950658944,1000
354,11,4.0,120,400.86794560947317,1000
356,11,4.5,12,279.28205177329016,1000
357,11,4.5,102,796.353308319327,1000
358,11,5.0,2,32.65734500969888,1000
359,11,4.5,5,209.6886809119545,1000
362,1,4.0,13,517.1327875803529,737
363,1,5.0,5,171.07224686362062,737
365,1,4.5,102,763.9766728089735,737
366,1,4.0,156,347.6442648484225,737
367,1,4.5,44,864.0987946744533,737
370,1,4.5,76,1017.4003726885127,737
371,1,4.0,38,1089.5134106486412,737
372,1,4.5,8,606.6541251497505,737
373,1,4.0,317,687.5153474650075,737
374,1,4.0,23,215.88418537805472,737
375,1,4.5,6,597.270502673242,737
376,1,5.0,34,727.447189070856,737
377,1,4.5,59,678.5640073567693,737
378,1,3.5,44,89.96156718548282,737
379,1,5.0,1,683.6884330363448,737
380,9,4.5,29,858.6641184294854,68
381,9,4.5,14,353.9337511990402,68
382,9,5.0,15,924.3320646102994,68
383,9,4.5,2,497.5721134403499,68
384,9,3.5,27,500.26624348039263,68
385,9,4.0,27,937.9205934460707,68
386,9,3.5,22,413.44054167024194,68
387,9,4.0,16,723.2408849916031,68
388,9,3.5,20,363.2194071320648,68
389,9,4.0,82,1068.8248645495758,68
390,9,4.0,14,528.2796187043433,68
391,9,4.0,19,731.7490671269017,68
392,9,4.0,2,444.8918997399243,68
393,9,4.0,4,1072.8079557317892,68
394,9,3.5,6,350.03867749689516,68
395,9,4.0,12,728.477661347855,68
396,9,4.5,2,410.1655331485205,68
397,9,4.0,13,924.3320646092765,68
398,9,5.0,1,794.0499398061357,68
399,9,4.0,20,1083.9396709278833,68
400,1,4.5,65,549.4020021665541,96
401,1,4.5,54,470.61787248843115,96
402,1,5.0,5,254.9542680558525,96
403,1,4.5,52,230.7210073508744,96
404,1,3.5,57,202.74665499546825,96
405,1,4.0,136,165.36616361583768,96
406,1,4.5,22,494.0883444869821,96
407,1,3.5,104,375.7270675998216,96
408,1,4.5,36,435.61640590857866,96
409,1,3.5,56,145.5348568094879,96
411,1,3.5,43,259.652524715732,96
412,1,5.0,4,183.24136529029832,96
413,1,4.0,75,188.04220338371587,96
414,1,5.0,8,163.42800638202874,96
415,1,3.5,47,198.7726122502336,96
416,1,4.5,11,280.4918309305345,96
417,1,4.0,82,259.1407859668144,96
418,1,3.5,110,280.6943672491935,96
419,1,3.5,57,284.6878517598877,96
420,0,4.5,30,379.59412045953405,81
421,0,4.0,3,309.9381520898853,81
422,0,4.5,76,384.13004088573126,81
423,0,4.0,169,364.5493441008551,81
424,0,4.0,10,391.7680183433248,81
425,0,4.5,12,180.42520418993226,81
426,0,3.5,71,645.5508513211936,81
427,0,3.5,87,602.5104217736108,81
428,0,5.0,4,601.7540482394179,81
429,0,3.5,40,389.764237707461,81
430,0,3.5,5,329.39228141785594,81
431,0,4.0,5,861.2752698727606,81
432,0,4.0,1,374.55981980693326,81
433,0,4.0,113,525.1684995270649,81
434,0,3.5,37,413.99959275441523,81
436,0,3.5,39,628.2959937723898,81
437,0,3.5,17,554.9396750228614,81
438,0,4.5,68,792.2493107004906,81
439,0,3.5,32,329.7247926042548,81
440,0,4.5,10,417.03140643567735,120
441,0,4.0,100,331.29823531830465,120
442,0,4.5,119,568.7392293183167,120
443,0,3.5,219,443.61181790074204,120
444,0,4.5,60,504.9648508267705,120
445,0,4.0,288,377.41104095446855,120
446,0,4.0,44,1008.8754699792273,120
447,0,3.5,55,672.9654984788202,120
448,0,4.5,68,91.60632722227815,120
449,0,4.0,42,460.6601454309861,120
450,0,3.5,39,107.73456634098736,120
451,0,4.0,33,677.6547600711126,120
453,0,4.5,12,448.04883512198137,120
454,0,5.0,1,638.1465250018583,120
455,0,3.5,15,20.959188793733414,120
456,0,3.5,26,481.99386267208223,120
457,0,4.5,30,1054.176948292308,120
458,0,4.0,11,417.27937293877113,120
459,0,3.5,40,906.2863381406418,120
480,4,4.5,114,298.7639940186863,363
481,4,4.5,330,624.6298177727587,363
482,4,5.0,2,343.3233005229259,363
483,4,4.0,22,511.82467076432977,363
484,4,4.5,24,571.2705324017721,363
485,4,4.0,318,99.96606530292487,363
486,4,4.5,36,413.80411311053354,363
487,4,4.5,193,692.9391501959676,363
488,4,4.5,60,420.38272089346293,363
489,4,4.0,184,625.0366101321873,363
491,4,5.0,1,384.5924791847885,363
492,4,4.0,16,413.77550417623803,363
493,4,4.0,74,274.79683414334806,363
494,4,3.5,57,99.30621241284557,363
495,4,4.0,23,198.204176338301,363
496,4,4.0,31,567.8904496328137,363
498,4,4.0,102,526.0716695036814,363
499,4,4.5,17,605.1243253938533,363
501,6,4.0,38,363.0376870375333,1100
504,6,4.0,128,261.38361628141547,1100
505,6,4.0,322,266.15097420823366,1100
507,6,4.5,163,703.3270024778036,1100
509,6,4.5,28,790.1363908418742,1100
511,6,4.0,207,296.942410758357,1100
512,6,4.5,12,263.38870479031283,1100
513,6,4.5,38,812.5954924585261,1100
514,6,4.5,76,861.5722155494972,1100
516,6,4.0,109,450.4297936342217,1100
518,6,5.0,3,262.1863768661021,1100
520,4,4.5,76,383.52361793454435,1200
521,4,4.5,83,391.33452327314285,1200
522,4,4.5,22,374.1964734185189,1200
524,4,4.5,44,692.6015233190233,1200
525,4,4.5,163,743.251151469283,1200
526,4,4.0,38,344.4491625949318,1200
527,4,4.0,126,270.7711216067824,1200
528,4,4.0,161,316.4566771232007,1200
530,4,4.5,210,302.7535561868769,1200
533,4,4.0,21,491.77547372833766,1200
535,4,4.0,118,711.8084235421816,1200
536,4,4.0,63,539.8465928582482,1200
537,4,4.5,314,698.0859565951083,1200
538,4,4.0,38,1045.4638830068718,1200
539,4,4.0,21,239.30089944594346,1200
540,1,4.5,30,243.23178668938579,68
541,1,4.0,10,300.2137526918058,68
542,1,4.5,76,477.00526726908896,68
543,1,3.5,87,407.21953791811035,68
544,1,4.0,5,561.7548544507462,68
545,1,3.5,71,444.6385611792479,68
546,1,4.0,3,450.8170957278379,68
547,1,4.0,169,483.71746386720565,68
