,name,rating,review_count,distance,latitude,longitude,total,api,query
158,Yupdduk Bloor,4.0,28,83.8136750122836,43.664467,-79.414783,338,yelp,restaurant
159,Mr.Tonkatsu,4.0,193,336.97874325160547,43.664467,-79.414783,338,yelp,restaurant
160,Trattoria Nervosa,4.0,411,527.701472357161,43.675492,-79.388858,286,yelp,restaurant
161,Mineral,4.5,26,243.74550419839568,43.675492,-79.388858,286,yelp,restaurant
162,Grandma Loves You,5.0,76,280.395701464177,43.675492,-79.388858,286,yelp,restaurant
163,156 Cumberland,4.5,24,713.4391638201225,43.675492,-79.388858,286,yelp,restaurant
164,The Oxley,4.0,184,643.5698370095942,43.675492,-79.388858,286,yelp,restaurant
165,Robot Boil House,4.0,22,99.43293877168927,43.675492,-79.388858,286,yelp,restaurant
166,Buca Yorkville,4.0,207,370.5835065034395,43.675492,-79.388858,286,yelp,restaurant
167,Mogouyan Hand-Pulled Noodles,4.0,93,694.1564397554724,43.675492,-79.388858,286,yelp,restaurant
168,Yuzuki,4.5,43,625.3911598580315,43.675492,-79.388858,286,yelp,restaurant
169,Public School,4.0,10,617.0601314430655,43.675492,-79.388858,286,yelp,restaurant
170,Poppadum,5.0,6,345.3248750765377,43.675492,-79.388858,286,yelp,restaurant
171,Black Camel,4.5,383,183.4669490267399,43.675492,-79.388858,286,yelp,restaurant
172,Eataly Toronto,3.5,296,653.4652177326158,43.675492,-79.388858,286,yelp,restaurant
173,Cafe Landwer - Yonge & Bloor,4.0,78,634.9875142470328,43.675492,-79.388858,286,yelp,restaurant
174,PLANTA Yorkville,4.0,508,588.9538905913009,43.675492,-79.388858,286,yelp,restaurant
175,The MoMo House,4.0,27,583.692931629195,43.675492,-79.388858,286,yelp,restaurant
176,Portici,4.0,86,319.884748380198,43.675492,-79.388858,286,yelp,restaurant
177,Pantry,4.0,22,332.0509258496862,43.675492,-79.388858,286,yelp,restaurant
178,Skylight Rooftop Bar,4.0,14,615.6956368576849,43.675492,-79.388858,286,yelp,restaurant
179,Quanto Basta,3.5,45,384.3366579734189,43.675492,-79.388858,286,yelp,restaurant
180,Joso's,4.5,173,16.625474799236926,43.674991,-79.396273,300,yelp,restaurant
181,Osteria Giulia,4.5,38,78.90409439813973,43.674991,-79.396273,300,yelp,restaurant
182,Fieramosca,4.5,114,610.7068917607007,43.674991,-79.396273,300,yelp,restaurant
183,Trattoria Nervosa,4.0,411,605.7810658267275,43.674991,-79.396273,300,yelp,restaurant
184,The Oxley,4.0,184,553.9309746610323,43.674991,-79.396273,300,yelp,restaurant
185,156 Cumberland,4.5,24,609.7623593952119,43.674991,-79.396273,300,yelp,restaurant
186,Ristorante Sotto Sotto,4.0,130,140.99111943611078,43.674991,-79.396273,300,yelp,restaurant
187,Pisac Peruvian Bistro,4.5,29,303.3616473689475,43.674991,-79.396273,300,yelp,restaurant
188,Clay Restaurant,4.0,22,806.9815272715244,43.674991,-79.396273,300,yelp,restaurant
189,Playa Cabana,4.0,475,409.3277197634617,43.674991,-79.396273,300,yelp,restaurant
190,Grandma Loves You,5.0,76,588.7200096289325,43.674991,-79.396273,300,yelp,restaurant
191,Mineral,4.5,26,622.5315226706682,43.674991,-79.396273,300,yelp,restaurant
192,Masaki Saito,4.5,12,307.76013291026425,43.674991,-79.396273,300,yelp,restaurant
193,Joni Restaurant,4.0,16,644.0039845283311,43.674991,-79.396273,300,yelp,restaurant
194,Blu Ristorante,4.0,178,294.86229897067506,43.674991,-79.396273,300,yelp,restaurant
195,Mimi Chinese,4.0,54,181.35680413505222,43.674991,-79.396273,300,yelp,restaurant
196,Kibo Secret Garden,4.0,32,596.1817785576058,43.674991,-79.396273,300,yelp,restaurant
197,The MoMo House,4.0,27,714.7375214166962,43.674991,-79.396273,300,yelp,restaurant
198,MSSM,4.0,9,596.187789001061,43.674991,-79.396273,300,yelp,restaurant
199,Adrak,3.5,11,69.38777385609869,43.674991,-79.396273,300,yelp,restaurant
200,Trattoria Nervosa,4.0,411,285.73266583892206,43.671944,-79.387778,367,yelp,restaurant
201,Lao Lao Bar,4.5,51,708.2266913752015,43.671944,-79.387778,367,yelp,restaurant
202,Pearl Yorkville,4.0,4,355.08704423844637,43.671944,-79.387778,367,yelp,restaurant
203,Public School,4.0,10,282.08937958151057,43.671944,-79.387778,367,yelp,restaurant
204,156 Cumberland,4.5,24,497.5599649982354,43.671944,-79.387778,367,yelp,restaurant
205,The Oxley,4.0,184,452.89184767812367,43.671944,-79.387778,367,yelp,restaurant
206,Eataly Toronto,3.5,296,271.53579986674794,43.671944,-79.387778,367,yelp,restaurant
207,Mogouyan Hand-Pulled Noodles,4.0,93,291.2989245524815,43.671944,-79.387778,367,yelp,restaurant
208,Okonomi House Restaurant,4.0,320,407.2728676570002,43.671944,-79.387778,367,yelp,restaurant
209,Cafe Landwer - Yonge & Bloor,4.0,78,256.088920938878,43.671944,-79.387778,367,yelp,restaurant
210,Yuzuki,4.5,43,327.5935167063977,43.671944,-79.387778,367,yelp,restaurant
211,Buca Yorkville,4.0,207,130.6032755897903,43.671944,-79.387778,367,yelp,restaurant
212,Skylight Rooftop Bar,4.0,14,281.40332348988284,43.671944,-79.387778,367,yelp,restaurant
213,Clay Restaurant,4.0,22,608.4640148726278,43.671944,-79.387778,367,yelp,restaurant
214,PLANTA Yorkville,4.0,508,235.004863585266,43.671944,-79.387778,367,yelp,restaurant
215,Poppadum,5.0,6,58.72760049955426,43.671944,-79.387778,367,yelp,restaurant
216,Sang-Ji Fried Bao,4.5,13,407.98482444601694,43.671944,-79.387778,367,yelp,restaurant
217,More Natas Please,4.0,11,287.30006766173386,43.671944,-79.387778,367,yelp,restaurant
218,The Bar Jokbal Night Market,4.0,5,504.51885907884486,43.671944,-79.387778,367,yelp,restaurant
219,The MoMo House,4.0,27,262.53182525309734,43.671944,-79.387778,367,yelp,restaurant
220,The Comrade,4.0,87,416.77973051607705,43.662365,-79.351104,135,yelp,restaurant
221,Dine & Dim,4.5,28,369.36766339864266,43.662365,-79.351104,135,yelp,restaurant
222,Urban House,4.5,13,390.5363578108714,43.662365,-79.351104,135,yelp,restaurant
223,Wynona,4.5,62,737.1358682969507,43.662365,-79.351104,135,yelp,restaurant
224,Completo,4.5,15,287.0056930712502,43.662365,-79.351104,135,yelp,restaurant
225,ēst Restaurant,4.0,27,416.787938460979,43.662365,-79.351104,135,yelp,restaurant
